Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,RIGHT,766.6666682,"('Time_Max_Exceeded', 767.1160999999529)",0,,,RIGHT,443.9802,55:25.1,55:25.8,118,s4,ConflictResolution
CONGRUENT,RIGHT,966.6666686,"('Time_Max_Exceeded', 0.37750000001324224)",0,,,RIGHT,386.4601,55:26.8,55:27.4,119,s4,ConflictResolution
INCONGRUENT,LEFT,1116.666669,"('Time_Max_Exceeded', 1117.0286999999917)",0,,,LEFT,593.4537,55:28.5,55:29.3,120,s4,ConflictResolution
INCONGRUENT,RIGHT,1366.666669,"('Time_Max_Exceeded', 1367.0501999999942)",0,,,RIGHT,482.216,55:30.7,55:31.4,121,s4,ConflictResolution
INCONGRUENT,LEFT,1300.000003,"('Time_Max_Exceeded', 1300.3337999999758)",0,,,LEFT,498.3999,55:32.7,55:33.4,122,s4,ConflictResolution
INCONGRUENT,LEFT,566.6666678,"('Time_Max_Exceeded', 567.0441999999412)",0,,,LEFT,704.0939,55:34.0,55:34.9,123,s4,ConflictResolution
INCONGRUENT,LEFT,650.0000013,"('Time_Max_Exceeded', 653.5836000000472)",0,,,LEFT,496.9844,55:35.6,55:36.3,124,s4,ConflictResolution
INCONGRUENT,LEFT,1416.66667,"('Time_Max_Exceeded', 1416.9891000000234)",-0.961,,,LEFT,506.8625,55:37.8,55:38.5,125,s4,ConflictResolution
CONGRUENT,RIGHT,1383.333336,"('Time_Max_Exceeded', 1383.631199999968)",0,,,RIGHT,499.8096,55:39.9,55:40.6,126,s4,ConflictResolution
INCONGRUENT,LEFT,866.6666684,"('Time_Max_Exceeded', 866.8146999999635)",0,,,LEFT,698.5342,55:41.5,55:42.4,127,s4,ConflictResolution
INCONGRUENT,RIGHT,1250.000003,"('Time_Max_Exceeded', 1250.244500000008)",0,,,RIGHT,655.8485,55:43.6,55:44.5,128,s4,ConflictResolution
INCONGRUENT,LEFT,1133.333336,"('Time_Max_Exceeded', 1133.6952999999994)",0,,,LEFT,458.6231,55:45.7,55:46.3,129,s4,ConflictResolution
CONGRUENT,LEFT,1483.333336,"('Time_Max_Exceeded', 0.19859999997606792)",0,,,LEFT,446.9477,55:47.8,55:48.5,130,s4,ConflictResolution
CONGRUENT,LEFT,1333.333336,"('Time_Max_Exceeded', 1333.6759999999686)",0,,,LEFT,506.6607,55:49.9,55:50.6,131,s4,ConflictResolution
CONGRUENT,LEFT,533.3333344,"('Time_Max_Exceeded', 533.6637999999994)",0,,,LEFT,587.7881,55:51.1,55:51.9,132,s4,ConflictResolution
CONGRUENT,LEFT,1083.333336,"('Time_Max_Exceeded', 1083.6108999999396)",0,,,LEFT,395.4787,55:53.0,55:53.6,133,s4,ConflictResolution
CONGRUENT,RIGHT,1133.333336,"('Time_Max_Exceeded', 0.6820999999490596)",0,,,RIGHT,454.7913,55:54.8,55:55.5,134,s4,ConflictResolution
